training log: output/train_20260408_123704.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/sveAndriceveKnjige.txt', 'save_path': 'models/andric_transformer_acc5_3e-06LR.pt', 'init_from': 'models/sr_transformer_512x20_acc40_3e-05LR.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 3e-06, 'max_steps': 30000, 'warmup_steps': 0, 'eval_every': 50, 'acc_steps': 5, 'val_split': 0.1, 'save_last_model': True, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20_acc40_3e-05LR.pt
step 1 | train 4.1647 | val 3.9914 | ppl 54.13 | lr 3.00e-06
step 50 | train 4.1436 | val 3.9940 | ppl 54.27 | lr 3.00e-06
step 100 | train 4.1277 | val 3.9765 | ppl 53.33 | lr 3.00e-06
step 150 | train 4.0785 | val 3.9542 | ppl 52.16 | lr 3.00e-06
step 200 | train 4.1432 | val 3.9546 | ppl 52.18 | lr 3.00e-06
step 250 | train 4.1315 | val 3.9501 | ppl 51.94 | lr 3.00e-06
step 300 | train 4.0615 | val 3.9544 | ppl 52.16 | lr 3.00e-06
step 350 | train 4.1187 | val 3.9231 | ppl 50.56 | lr 3.00e-06
step 400 | train 4.0625 | val 3.9532 | ppl 52.10 | lr 3.00e-06
step 450 | train 4.1290 | val 3.9540 | ppl 52.14 | lr 3.00e-06
step 500 | train 4.1264 | val 3.9154 | ppl 50.17 | lr 3.00e-06
step 550 | train 4.0645 | val 3.9192 | ppl 50.36 | lr 3.00e-06
step 600 | train 4.1093 | val 3.9211 | ppl 50.46 | lr 3.00e-06
step 650 | train 4.0987 | val 3.9342 | ppl 51.12 | lr 3.00e-06
step 700 | train 4.1126 | val 3.9095 | ppl 49.88 | lr 3.00e-06
step 750 | train 4.0381 | val 3.9130 | ppl 50.05 | lr 3.00e-06
step 800 | train 4.0182 | val 3.9197 | ppl 50.38 | lr 3.00e-06
step 850 | train 4.0573 | val 3.9064 | ppl 49.72 | lr 2.99e-06
step 900 | train 4.0452 | val 3.8913 | ppl 48.98 | lr 2.99e-06
step 950 | train 4.0822 | val 3.9122 | ppl 50.01 | lr 2.99e-06
step 1000 | train 4.0587 | val 3.8822 | ppl 48.53 | lr 2.99e-06
step 1050 | train 4.0150 | val 3.8938 | ppl 49.10 | lr 2.99e-06
step 1100 | train 4.0675 | val 3.8948 | ppl 49.15 | lr 2.99e-06
step 1150 | train 4.0558 | val 3.8897 | ppl 48.89 | lr 2.99e-06
step 1200 | train 4.0115 | val 3.8821 | ppl 48.53 | lr 2.99e-06
step 1250 | train 4.0071 | val 3.8858 | ppl 48.70 | lr 2.99e-06
step 1300 | train 4.0867 | val 3.8838 | ppl 48.61 | lr 2.99e-06
step 1350 | train 4.0200 | val 3.8791 | ppl 48.38 | lr 2.99e-06
step 1400 | train 4.0985 | val 3.8786 | ppl 48.35 | lr 2.99e-06
step 1450 | train 4.0799 | val 3.8740 | ppl 48.14 | lr 2.98e-06
step 1500 | train 4.0956 | val 3.8620 | ppl 47.56 | lr 2.98e-06
step 1550 | train 4.0557 | val 3.8635 | ppl 47.63 | lr 2.98e-06
step 1600 | train 4.0456 | val 3.8685 | ppl 47.87 | lr 2.98e-06
step 1650 | train 4.0025 | val 3.8745 | ppl 48.16 | lr 2.98e-06
step 1700 | train 4.0399 | val 3.8613 | ppl 47.53 | lr 2.98e-06
step 1750 | train 4.0172 | val 3.8615 | ppl 47.54 | lr 2.98e-06
step 1800 | train 4.0305 | val 3.8793 | ppl 48.39 | lr 2.98e-06
step 1850 | train 4.0198 | val 3.8496 | ppl 46.97 | lr 2.97e-06
step 1900 | train 4.0313 | val 3.8580 | ppl 47.37 | lr 2.97e-06
step 1950 | train 4.0159 | val 3.8381 | ppl 46.44 | lr 2.97e-06
step 2000 | train 4.0245 | val 3.8828 | ppl 48.56 | lr 2.97e-06
step 2050 | train 3.9553 | val 3.8437 | ppl 46.70 | lr 2.97e-06
step 2100 | train 4.0164 | val 3.8653 | ppl 47.72 | lr 2.97e-06
step 2150 | train 4.0276 | val 3.8718 | ppl 48.03 | lr 2.97e-06
step 2200 | train 4.0144 | val 3.8527 | ppl 47.12 | lr 2.96e-06
step 2250 | train 3.9654 | val 3.8630 | ppl 47.61 | lr 2.96e-06
step 2300 | train 3.9943 | val 3.8663 | ppl 47.76 | lr 2.96e-06
step 2350 | train 3.9899 | val 3.8527 | ppl 47.12 | lr 2.96e-06
step 2400 | train 3.9602 | val 3.8486 | ppl 46.93 | lr 2.96e-06
step 2450 | train 3.9609 | val 3.8496 | ppl 46.98 | lr 2.96e-06
step 2500 | train 3.9654 | val 3.8490 | ppl 46.95 | lr 2.95e-06
step 2550 | train 3.9961 | val 3.8479 | ppl 46.89 | lr 2.95e-06
step 2600 | train 3.9894 | val 3.8428 | ppl 46.66 | lr 2.95e-06
step 2650 | train 4.0533 | val 3.8382 | ppl 46.44 | lr 2.95e-06
step 2700 | train 4.0107 | val 3.8282 | ppl 45.98 | lr 2.95e-06
step 2750 | train 4.0019 | val 3.8453 | ppl 46.77 | lr 2.94e-06
step 2800 | train 4.0332 | val 3.8480 | ppl 46.90 | lr 2.94e-06
step 2850 | train 4.0175 | val 3.8250 | ppl 45.83 | lr 2.94e-06
step 2900 | train 4.0046 | val 3.8533 | ppl 47.15 | lr 2.94e-06
step 2950 | train 4.0165 | val 3.8036 | ppl 44.86 | lr 2.94e-06
step 3000 | train 4.0108 | val 3.8234 | ppl 45.76 | lr 2.93e-06
step 3050 | train 3.9364 | val 3.8413 | ppl 46.58 | lr 2.93e-06
step 3100 | train 3.9705 | val 3.8405 | ppl 46.55 | lr 2.93e-06
step 3150 | train 3.9926 | val 3.8003 | ppl 44.71 | lr 2.93e-06
step 3200 | train 3.9705 | val 3.8287 | ppl 46.00 | lr 2.92e-06
step 3250 | train 3.9815 | val 3.8471 | ppl 46.86 | lr 2.92e-06
step 3300 | train 3.9846 | val 3.8102 | ppl 45.16 | lr 2.92e-06
step 3350 | train 4.0459 | val 3.8065 | ppl 44.99 | lr 2.92e-06
step 3400 | train 3.9835 | val 3.8306 | ppl 46.09 | lr 2.92e-06
step 3450 | train 3.9810 | val 3.8291 | ppl 46.02 | lr 2.91e-06
step 3500 | train 4.0193 | val 3.8158 | ppl 45.41 | lr 2.91e-06
step 3550 | train 3.9790 | val 3.8259 | ppl 45.88 | lr 2.91e-06
step 3600 | train 3.9629 | val 3.8279 | ppl 45.96 | lr 2.91e-06
step 3650 | train 4.0458 | val 3.8059 | ppl 44.97 | lr 2.90e-06
step 3700 | train 3.9706 | val 3.8290 | ppl 46.02 | lr 2.90e-06
step 3750 | train 3.9989 | val 3.8210 | ppl 45.65 | lr 2.90e-06
step 3800 | train 3.9536 | val 3.8266 | ppl 45.91 | lr 2.89e-06
step 3850 | train 3.9651 | val 3.8146 | ppl 45.36 | lr 2.89e-06
step 3900 | train 3.9088 | val 3.8291 | ppl 46.02 | lr 2.89e-06
step 3950 | train 3.9260 | val 3.8049 | ppl 44.92 | lr 2.89e-06
step 4000 | train 3.9831 | val 3.8325 | ppl 46.18 | lr 2.88e-06
step 4050 | train 3.9628 | val 3.8097 | ppl 45.14 | lr 2.88e-06
step 4100 | train 3.9436 | val 3.8039 | ppl 44.88 | lr 2.88e-06
step 4150 | train 3.9418 | val 3.8253 | ppl 45.85 | lr 2.87e-06
step 4200 | train 3.9307 | val 3.8009 | ppl 44.74 | lr 2.87e-06
step 4250 | train 3.9321 | val 3.8099 | ppl 45.15 | lr 2.87e-06
step 4300 | train 4.0059 | val 3.8308 | ppl 46.10 | lr 2.87e-06
