training log: output/train_20260331_202920.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20.pt', 'init_from': None, 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 0.0003, 'max_steps': 10000, 'warmup_steps': 300, 'eval_every': 50, 'acc_steps': 1, 'val_split': 0.1, 'device': 'cuda', 'seed': 42}
step 1 | train 9.2047 | val 9.2004 | ppl 9901.12 | lr 1.00e-06
step 50 | train 8.0190 | val 7.9468 | ppl 2826.63 | lr 5.00e-05
step 100 | train 6.9657 | val 6.9538 | ppl 1047.13 | lr 1.00e-04
step 150 | train 6.7758 | val 6.6960 | ppl 809.16 | lr 1.50e-04
step 200 | train 6.6120 | val 6.5325 | ppl 687.09 | lr 2.00e-04
step 250 | train 6.3797 | val 6.4174 | ppl 612.41 | lr 2.50e-04
step 300 | train 6.1679 | val 6.2972 | ppl 543.03 | lr 3.00e-04
step 350 | train 6.2388 | val 6.2001 | ppl 492.82 | lr 3.00e-04
step 400 | train 6.1430 | val 6.0831 | ppl 438.40 | lr 3.00e-04
step 450 | train 5.9874 | val 6.0042 | ppl 405.12 | lr 3.00e-04
step 500 | train 5.9139 | val 5.9591 | ppl 387.27 | lr 3.00e-04
step 550 | train 5.9178 | val 5.8784 | ppl 357.25 | lr 3.00e-04
step 600 | train 5.8206 | val 5.8380 | ppl 343.08 | lr 2.99e-04
step 650 | train 5.7882 | val 5.7843 | ppl 325.16 | lr 2.99e-04
step 700 | train 5.7735 | val 5.7283 | ppl 307.45 | lr 2.99e-04
step 750 | train 5.6674 | val 5.7401 | ppl 311.08 | lr 2.99e-04
step 800 | train 5.5949 | val 5.6417 | ppl 281.95 | lr 2.98e-04
step 850 | train 5.5413 | val 5.6389 | ppl 281.15 | lr 2.98e-04
step 900 | train 5.5226 | val 5.5965 | ppl 269.47 | lr 2.97e-04
step 950 | train 5.5400 | val 5.5766 | ppl 264.17 | lr 2.97e-04
step 1000 | train 5.4465 | val 5.5266 | ppl 251.30 | lr 2.97e-04
step 1050 | train 5.4774 | val 5.5103 | ppl 247.22 | lr 2.96e-04
step 1100 | train 5.4310 | val 5.4643 | ppl 236.12 | lr 2.95e-04
step 1150 | train 5.3250 | val 5.4247 | ppl 226.94 | lr 2.95e-04
step 1200 | train 5.3556 | val 5.4173 | ppl 225.27 | lr 2.94e-04
step 1250 | train 5.3274 | val 5.3808 | ppl 217.19 | lr 2.94e-04
step 1300 | train 5.3515 | val 5.3706 | ppl 214.99 | lr 2.93e-04
step 1350 | train 5.2485 | val 5.3547 | ppl 211.61 | lr 2.92e-04
step 1400 | train 5.2612 | val 5.3307 | ppl 206.58 | lr 2.92e-04
step 1450 | train 5.3516 | val 5.2985 | ppl 200.04 | lr 2.91e-04
step 1500 | train 5.2402 | val 5.2871 | ppl 197.76 | lr 2.90e-04
step 1550 | train 5.1704 | val 5.2122 | ppl 183.49 | lr 2.89e-04
step 1600 | train 5.1655 | val 5.2295 | ppl 186.71 | lr 2.88e-04
step 1650 | train 5.0738 | val 5.2185 | ppl 184.65 | lr 2.87e-04
step 1700 | train 5.1212 | val 5.2086 | ppl 182.84 | lr 2.86e-04
step 1750 | train 5.0181 | val 5.1844 | ppl 178.47 | lr 2.85e-04
step 1800 | train 5.0526 | val 5.1406 | ppl 170.82 | lr 2.84e-04
step 1850 | train 5.0984 | val 5.1016 | ppl 164.28 | lr 2.83e-04
step 1900 | train 4.9627 | val 5.1047 | ppl 164.79 | lr 2.82e-04
step 1950 | train 5.0374 | val 5.0448 | ppl 155.21 | lr 2.81e-04
step 2000 | train 4.9941 | val 5.0660 | ppl 158.53 | lr 2.80e-04
step 2050 | train 4.9961 | val 5.0689 | ppl 159.00 | lr 2.79e-04
step 2100 | train 4.9817 | val 5.0617 | ppl 157.86 | lr 2.78e-04
step 2150 | train 5.0318 | val 5.0111 | ppl 150.07 | lr 2.76e-04
step 2200 | train 4.9772 | val 5.0241 | ppl 152.03 | lr 2.75e-04
step 2250 | train 4.9420 | val 5.0068 | ppl 149.43 | lr 2.74e-04
step 2300 | train 5.0652 | val 4.9840 | ppl 146.06 | lr 2.73e-04
step 2350 | train 5.0007 | val 4.9665 | ppl 143.53 | lr 2.71e-04
step 2400 | train 4.9148 | val 4.9763 | ppl 144.94 | lr 2.70e-04
step 2450 | train 4.7584 | val 4.9654 | ppl 143.37 | lr 2.69e-04
step 2500 | train 4.8155 | val 4.9231 | ppl 137.43 | lr 2.67e-04
step 2550 | train 4.9326 | val 4.9222 | ppl 137.30 | lr 2.66e-04
step 2600 | train 4.9335 | val 4.9195 | ppl 136.93 | lr 2.64e-04
step 2650 | train 4.9120 | val 4.9301 | ppl 138.39 | lr 2.63e-04
step 2700 | train 4.8785 | val 4.9231 | ppl 137.42 | lr 2.61e-04
step 2750 | train 4.8937 | val 4.8856 | ppl 132.37 | lr 2.60e-04
step 2800 | train 4.8184 | val 4.8677 | ppl 130.02 | lr 2.58e-04
step 2850 | train 4.8842 | val 4.8424 | ppl 126.77 | lr 2.57e-04
step 2900 | train 4.8752 | val 4.8492 | ppl 127.64 | lr 2.55e-04
step 2950 | train 4.7934 | val 4.8574 | ppl 128.69 | lr 2.53e-04
step 3000 | train 4.7960 | val 4.8414 | ppl 126.64 | lr 2.52e-04
step 3050 | train 4.8082 | val 4.8123 | ppl 123.02 | lr 2.50e-04
step 3100 | train 4.7291 | val 4.8324 | ppl 125.52 | lr 2.48e-04
step 3150 | train 4.7813 | val 4.7945 | ppl 120.84 | lr 2.46e-04
step 3200 | train 4.7775 | val 4.8150 | ppl 123.35 | lr 2.45e-04
step 3250 | train 4.8237 | val 4.8113 | ppl 122.90 | lr 2.43e-04
step 3300 | train 4.6772 | val 4.7608 | ppl 116.84 | lr 2.41e-04
step 3350 | train 4.5779 | val 4.7525 | ppl 115.87 | lr 2.39e-04
step 3400 | train 4.7003 | val 4.7805 | ppl 119.17 | lr 2.37e-04
step 3450 | train 4.7350 | val 4.7895 | ppl 120.24 | lr 2.36e-04
step 3500 | train 4.7938 | val 4.7566 | ppl 116.35 | lr 2.34e-04
step 3550 | train 4.6876 | val 4.7694 | ppl 117.84 | lr 2.32e-04
step 3600 | train 4.6067 | val 4.7337 | ppl 113.72 | lr 2.30e-04
step 3650 | train 4.7301 | val 4.7193 | ppl 112.09 | lr 2.28e-04
step 3700 | train 4.6286 | val 4.7278 | ppl 113.05 | lr 2.26e-04
step 3750 | train 4.6813 | val 4.7324 | ppl 113.56 | lr 2.24e-04
step 3800 | train 4.7494 | val 4.7106 | ppl 111.12 | lr 2.22e-04
