training log: output/train_20260331_230036.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20_acc5.pt', 'init_from': 'models/sr_transformer_512x20.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 3e-05, 'max_steps': 75000, 'warmup_steps': 300, 'eval_every': 50, 'acc_steps': 5, 'val_split': 0.1, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20.pt
step 1 | train 4.4149 | val 4.3822 | ppl 80.01 | lr 0.00e+00
step 50 | train 4.2993 | val 4.3887 | ppl 80.54 | lr 1.00e-06
step 100 | train 4.4449 | val 4.4000 | ppl 81.45 | lr 2.00e-06
step 150 | train 4.2339 | val 4.4560 | ppl 86.14 | lr 3.00e-06
step 200 | train 4.2940 | val 4.4163 | ppl 82.79 | lr 4.00e-06
step 250 | train 4.4389 | val 4.3802 | ppl 79.86 | lr 5.00e-06
step 300 | train 4.3198 | val 4.3628 | ppl 78.48 | lr 6.00e-06
step 350 | train 4.4082 | val 4.3976 | ppl 81.26 | lr 7.00e-06
step 400 | train 4.4935 | val 4.4131 | ppl 82.52 | lr 8.00e-06
step 450 | train 4.3325 | val 4.3793 | ppl 79.78 | lr 9.00e-06
step 500 | train 4.1936 | val 4.4056 | ppl 81.91 | lr 1.00e-05
step 550 | train 4.3306 | val 4.3839 | ppl 80.15 | lr 1.10e-05
step 600 | train 4.2817 | val 4.4043 | ppl 81.80 | lr 1.20e-05
step 650 | train 4.4041 | val 4.3902 | ppl 80.66 | lr 1.30e-05
step 700 | train 4.3369 | val 4.4214 | ppl 83.21 | lr 1.40e-05
step 750 | train 4.3332 | val 4.4139 | ppl 82.59 | lr 1.50e-05
step 800 | train 4.3569 | val 4.3833 | ppl 80.10 | lr 1.60e-05
step 850 | train 4.2674 | val 4.3905 | ppl 80.68 | lr 1.70e-05
step 900 | train 4.1773 | val 4.4031 | ppl 81.70 | lr 1.80e-05
step 950 | train 4.2558 | val 4.4235 | ppl 83.39 | lr 1.90e-05
step 1000 | train 4.2729 | val 4.4024 | ppl 81.64 | lr 2.00e-05
step 1050 | train 4.3758 | val 4.4280 | ppl 83.76 | lr 2.10e-05
step 1100 | train 4.3476 | val 4.3786 | ppl 79.73 | lr 2.20e-05
step 1150 | train 4.2747 | val 4.3943 | ppl 80.99 | lr 2.30e-05
step 1200 | train 4.3520 | val 4.4192 | ppl 83.03 | lr 2.40e-05
step 1250 | train 4.2955 | val 4.3809 | ppl 79.91 | lr 2.50e-05
step 1300 | train 4.3727 | val 4.3968 | ppl 81.19 | lr 2.60e-05
step 1350 | train 4.2786 | val 4.4102 | ppl 82.28 | lr 2.70e-05
step 1400 | train 4.2228 | val 4.4169 | ppl 82.84 | lr 2.80e-05
step 1450 | train 4.4590 | val 4.3934 | ppl 80.92 | lr 2.90e-05
step 1500 | train 4.2877 | val 4.3742 | ppl 79.37 | lr 3.00e-05
step 1550 | train 4.3260 | val 4.3606 | ppl 78.30 | lr 3.00e-05
step 1600 | train 4.2482 | val 4.3867 | ppl 80.37 | lr 3.00e-05
step 1650 | train 4.1445 | val 4.4061 | ppl 81.95 | lr 3.00e-05
