training log: output/train_20260401_172648.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20_acc5.pt', 'init_from': 'models/sr_transformer_512x20_acc5.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 3e-05, 'max_steps': 20000, 'warmup_steps': 0, 'eval_every': 50, 'acc_steps': 5, 'val_split': 0.1, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20_acc5.pt
step 1 | train 4.1866 | val 4.1523 | ppl 63.58 | lr 3.00e-05
step 50 | train 4.0760 | val 4.1594 | ppl 64.03 | lr 3.00e-05
step 100 | train 4.2248 | val 4.1711 | ppl 64.79 | lr 3.00e-05
step 150 | train 3.9928 | val 4.2313 | ppl 68.81 | lr 3.00e-05
step 200 | train 4.0582 | val 4.1964 | ppl 66.45 | lr 3.00e-05
step 250 | train 4.2369 | val 4.1507 | ppl 63.48 | lr 3.00e-05
step 300 | train 4.1037 | val 4.1378 | ppl 62.66 | lr 3.00e-05
step 350 | train 4.1899 | val 4.1737 | ppl 64.96 | lr 3.00e-05
step 400 | train 4.2544 | val 4.1869 | ppl 65.82 | lr 3.00e-05
step 450 | train 4.1099 | val 4.1589 | ppl 64.00 | lr 3.00e-05
step 500 | train 3.9645 | val 4.1815 | ppl 65.46 | lr 3.00e-05
step 550 | train 4.0823 | val 4.1579 | ppl 63.94 | lr 3.00e-05
step 600 | train 4.0446 | val 4.1845 | ppl 65.66 | lr 3.00e-05
step 650 | train 4.1977 | val 4.1633 | ppl 64.29 | lr 3.00e-05
step 700 | train 4.0659 | val 4.2037 | ppl 66.93 | lr 3.00e-05
step 750 | train 4.1063 | val 4.1871 | ppl 65.83 | lr 3.00e-05
step 800 | train 4.1454 | val 4.1592 | ppl 64.02 | lr 3.00e-05
step 850 | train 4.0404 | val 4.1646 | ppl 64.37 | lr 3.00e-05
step 900 | train 3.9363 | val 4.1823 | ppl 65.52 | lr 3.00e-05
step 950 | train 4.0460 | val 4.1965 | ppl 66.45 | lr 3.00e-05
step 1000 | train 4.0566 | val 4.1823 | ppl 65.52 | lr 3.00e-05
step 1050 | train 4.1560 | val 4.2019 | ppl 66.82 | lr 3.00e-05
step 1100 | train 4.1274 | val 4.1528 | ppl 63.61 | lr 3.00e-05
step 1150 | train 4.0613 | val 4.1756 | ppl 65.08 | lr 3.00e-05
step 1200 | train 4.1220 | val 4.2004 | ppl 66.71 | lr 3.00e-05
step 1250 | train 4.0860 | val 4.1609 | ppl 64.13 | lr 3.00e-05
step 1300 | train 4.1624 | val 4.1776 | ppl 65.21 | lr 3.00e-05
step 1350 | train 4.0762 | val 4.1933 | ppl 66.24 | lr 3.00e-05
step 1400 | train 3.9812 | val 4.1901 | ppl 66.03 | lr 3.00e-05
step 1450 | train 4.2431 | val 4.1752 | ppl 65.06 | lr 3.00e-05
step 1500 | train 4.0776 | val 4.1485 | ppl 63.34 | lr 3.00e-05
step 1550 | train 4.1059 | val 4.1410 | ppl 62.86 | lr 3.00e-05
step 1600 | train 4.0247 | val 4.1606 | ppl 64.11 | lr 3.00e-05
step 1650 | train 3.9158 | val 4.1835 | ppl 65.60 | lr 3.00e-05
step 1700 | train 3.9931 | val 4.1861 | ppl 65.76 | lr 3.00e-05
step 1750 | train 4.0326 | val 4.2041 | ppl 66.96 | lr 3.00e-05
step 1800 | train 4.0425 | val 4.1677 | ppl 64.57 | lr 3.00e-05
step 1850 | train 4.1182 | val 4.1300 | ppl 62.18 | lr 3.00e-05
step 1900 | train 3.9696 | val 4.1603 | ppl 64.09 | lr 3.00e-05
step 1950 | train 4.0417 | val 4.1126 | ppl 61.11 | lr 3.00e-05
step 2000 | train 3.9579 | val 4.1660 | ppl 64.46 | lr 3.00e-05
step 2050 | train 4.1218 | val 4.1548 | ppl 63.74 | lr 3.00e-05
step 2100 | train 4.0813 | val 4.1690 | ppl 64.65 | lr 3.00e-05
step 2150 | train 4.1872 | val 4.1583 | ppl 63.96 | lr 3.00e-05
step 2200 | train 4.1215 | val 4.1850 | ppl 65.69 | lr 3.00e-05
step 2250 | train 4.1186 | val 4.1690 | ppl 64.65 | lr 3.00e-05
step 2300 | train 4.3067 | val 4.1586 | ppl 63.98 | lr 3.00e-05
step 2350 | train 4.1207 | val 4.1660 | ppl 64.46 | lr 3.00e-05
step 2400 | train 4.0719 | val 4.1942 | ppl 66.30 | lr 3.00e-05
step 2450 | train 3.9281 | val 4.1817 | ppl 65.47 | lr 3.00e-05
step 2500 | train 3.9446 | val 4.1577 | ppl 63.93 | lr 3.00e-05
