training log: output/train_20260401_222339.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20_acc5_bigLR.pt', 'init_from': 'models/sr_transformer_512x20_acc5.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 0.0001, 'max_steps': 2000, 'warmup_steps': 0, 'eval_every': 50, 'acc_steps': 5, 'val_split': 0.1, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20_acc5.pt
step 1 | train 4.1264 | val 4.1150 | ppl 61.25 | lr 1.00e-04
step 50 | train 4.0391 | val 4.1270 | ppl 61.99 | lr 1.00e-04
step 100 | train 4.1886 | val 4.1404 | ppl 62.83 | lr 1.00e-04
step 150 | train 3.9475 | val 4.2005 | ppl 66.72 | lr 1.00e-04
step 200 | train 4.0207 | val 4.1675 | ppl 64.55 | lr 9.99e-05
step 250 | train 4.2109 | val 4.1228 | ppl 61.73 | lr 9.99e-05
step 300 | train 4.0700 | val 4.1114 | ppl 61.03 | lr 9.98e-05
step 350 | train 4.1561 | val 4.1440 | ppl 63.06 | lr 9.97e-05
step 400 | train 4.2108 | val 4.1545 | ppl 63.72 | lr 9.96e-05
step 450 | train 4.0767 | val 4.1295 | ppl 62.15 | lr 9.96e-05
step 500 | train 3.9287 | val 4.1509 | ppl 63.49 | lr 9.94e-05
step 550 | train 4.0417 | val 4.1283 | ppl 62.07 | lr 9.93e-05
step 600 | train 4.0048 | val 4.1557 | ppl 63.79 | lr 9.92e-05
step 650 | train 4.1611 | val 4.1350 | ppl 62.49 | lr 9.91e-05
step 700 | train 4.0191 | val 4.1749 | ppl 65.03 | lr 9.89e-05
step 750 | train 4.0699 | val 4.1552 | ppl 63.77 | lr 9.88e-05
step 800 | train 4.1145 | val 4.1270 | ppl 61.99 | lr 9.86e-05
step 850 | train 3.9994 | val 4.1322 | ppl 62.31 | lr 9.84e-05
step 900 | train 3.9034 | val 4.1515 | ppl 63.53 | lr 9.82e-05
step 950 | train 4.0080 | val 4.1664 | ppl 64.49 | lr 9.80e-05
step 1000 | train 4.0225 | val 4.1484 | ppl 63.33 | lr 9.78e-05
step 1050 | train 4.1202 | val 4.1695 | ppl 64.68 | lr 9.76e-05
step 1100 | train 4.0898 | val 4.1217 | ppl 61.66 | lr 9.73e-05
step 1150 | train 4.0210 | val 4.1434 | ppl 63.02 | lr 9.71e-05
step 1200 | train 4.0854 | val 4.1674 | ppl 64.55 | lr 9.68e-05
step 1250 | train 4.0487 | val 4.1286 | ppl 62.09 | lr 9.66e-05
step 1300 | train 4.1269 | val 4.1474 | ppl 63.27 | lr 9.63e-05
step 1350 | train 4.0410 | val 4.1610 | ppl 64.14 | lr 9.60e-05
step 1400 | train 3.9411 | val 4.1567 | ppl 63.86 | lr 9.57e-05
step 1450 | train 4.2079 | val 4.1431 | ppl 63.00 | lr 9.54e-05
step 1500 | train 4.0415 | val 4.1142 | ppl 61.20 | lr 9.51e-05
step 1550 | train 4.0613 | val 4.1089 | ppl 60.88 | lr 9.48e-05
step 1600 | train 3.9865 | val 4.1218 | ppl 61.67 | lr 9.44e-05
step 1650 | train 3.8747 | val 4.1507 | ppl 63.48 | lr 9.41e-05
step 1700 | train 3.9438 | val 4.1539 | ppl 63.68 | lr 9.37e-05
step 1750 | train 3.9924 | val 4.1703 | ppl 64.73 | lr 9.34e-05
step 1800 | train 4.0060 | val 4.1324 | ppl 62.33 | lr 9.30e-05
step 1850 | train 4.0815 | val 4.0954 | ppl 60.06 | lr 9.26e-05
step 1900 | train 3.9319 | val 4.1264 | ppl 61.96 | lr 9.22e-05
step 1950 | train 4.0065 | val 4.0780 | ppl 59.03 | lr 9.18e-05
step 2000 | train 3.9166 | val 4.1315 | ppl 62.27 | lr 9.14e-05
best val loss: 4.0780
saved to models/sr_transformer_512x20_acc5_bigLR.pt
