training log: output/train_20260401_225533.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20_acc5_bigLR.pt', 'init_from': 'models/sr_transformer_512x20_acc5_bigLR.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 0.0001, 'max_steps': 60000, 'warmup_steps': 0, 'eval_every': 50, 'acc_steps': 5, 'val_split': 0.1, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20_acc5_bigLR.pt
step 1 | train 4.0417 | val 4.1092 | ppl 60.90 | lr 1.00e-04
step 50 | train 3.9950 | val 4.1201 | ppl 61.56 | lr 1.00e-04
step 100 | train 4.1483 | val 4.1334 | ppl 62.39 | lr 1.00e-04
step 150 | train 3.9027 | val 4.1936 | ppl 66.26 | lr 1.00e-04
step 200 | train 3.9830 | val 4.1595 | ppl 64.04 | lr 1.00e-04
step 250 | train 4.1747 | val 4.1151 | ppl 61.26 | lr 1.00e-04
step 300 | train 4.0308 | val 4.1042 | ppl 60.60 | lr 1.00e-04
step 350 | train 4.1159 | val 4.1370 | ppl 62.62 | lr 1.00e-04
step 400 | train 4.1680 | val 4.1456 | ppl 63.16 | lr 1.00e-04
step 450 | train 4.0398 | val 4.1204 | ppl 61.59 | lr 1.00e-04
step 500 | train 3.8878 | val 4.1422 | ppl 62.94 | lr 1.00e-04
step 550 | train 4.0010 | val 4.1197 | ppl 61.54 | lr 1.00e-04
step 600 | train 3.9631 | val 4.1479 | ppl 63.30 | lr 1.00e-04
step 650 | train 4.1224 | val 4.1268 | ppl 61.98 | lr 1.00e-04
step 700 | train 3.9762 | val 4.1672 | ppl 64.54 | lr 1.00e-04
step 750 | train 4.0357 | val 4.1470 | ppl 63.24 | lr 1.00e-04
step 800 | train 4.0787 | val 4.1181 | ppl 61.44 | lr 1.00e-04
step 850 | train 3.9621 | val 4.1232 | ppl 61.76 | lr 1.00e-04
step 900 | train 3.8672 | val 4.1431 | ppl 63.00 | lr 1.00e-04
step 950 | train 3.9723 | val 4.1584 | ppl 63.97 | lr 1.00e-04
step 1000 | train 3.9860 | val 4.1403 | ppl 62.82 | lr 1.00e-04
step 1050 | train 4.0829 | val 4.1612 | ppl 64.15 | lr 1.00e-04
step 1100 | train 4.0514 | val 4.1131 | ppl 61.13 | lr 1.00e-04
step 1150 | train 3.9836 | val 4.1354 | ppl 62.51 | lr 1.00e-04
step 1200 | train 4.0457 | val 4.1595 | ppl 64.04 | lr 1.00e-04
step 1250 | train 4.0095 | val 4.1208 | ppl 61.61 | lr 1.00e-04
step 1300 | train 4.0913 | val 4.1399 | ppl 62.80 | lr 1.00e-04
step 1350 | train 4.0071 | val 4.1546 | ppl 63.72 | lr 1.00e-04
step 1400 | train 3.9029 | val 4.1489 | ppl 63.36 | lr 1.00e-04
step 1450 | train 4.1720 | val 4.1358 | ppl 62.54 | lr 1.00e-04
step 1500 | train 4.0063 | val 4.1069 | ppl 60.76 | lr 1.00e-04
step 1550 | train 4.0220 | val 4.1018 | ppl 60.45 | lr 1.00e-04
step 1600 | train 3.9504 | val 4.1130 | ppl 61.13 | lr 1.00e-04
step 1650 | train 3.8379 | val 4.1435 | ppl 63.02 | lr 1.00e-04
step 1700 | train 3.9037 | val 4.1478 | ppl 63.29 | lr 1.00e-04
step 1750 | train 3.9591 | val 4.1634 | ppl 64.29 | lr 1.00e-04
step 1800 | train 3.9723 | val 4.1251 | ppl 61.88 | lr 1.00e-04
step 1850 | train 4.0517 | val 4.0880 | ppl 59.62 | lr 1.00e-04
step 1900 | train 3.9084 | val 4.1195 | ppl 61.53 | lr 1.00e-04
step 1950 | train 3.9999 | val 4.0711 | ppl 58.62 | lr 1.00e-04
step 2000 | train 3.9116 | val 4.1240 | ppl 61.81 | lr 1.00e-04
step 2050 | train 4.0632 | val 4.1111 | ppl 61.01 | lr 1.00e-04
step 2100 | train 4.0356 | val 4.1261 | ppl 61.93 | lr 1.00e-04
step 2150 | train 4.1467 | val 4.1159 | ppl 61.31 | lr 1.00e-04
step 2200 | train 4.0837 | val 4.1413 | ppl 62.88 | lr 1.00e-04
step 2250 | train 4.0779 | val 4.1269 | ppl 61.99 | lr 1.00e-04
step 2300 | train 4.2614 | val 4.1148 | ppl 61.24 | lr 1.00e-04
step 2350 | train 4.0724 | val 4.1181 | ppl 61.45 | lr 1.00e-04
step 2400 | train 4.0205 | val 4.1535 | ppl 63.66 | lr 1.00e-04
step 2450 | train 3.8840 | val 4.1352 | ppl 62.50 | lr 1.00e-04
step 2500 | train 3.8928 | val 4.1142 | ppl 61.20 | lr 1.00e-04
step 2550 | train 4.1194 | val 4.1160 | ppl 61.31 | lr 1.00e-04
step 2600 | train 4.1705 | val 4.1174 | ppl 61.40 | lr 1.00e-04
step 2650 | train 4.0346 | val 4.1509 | ppl 63.49 | lr 1.00e-04
step 2700 | train 4.0930 | val 4.1516 | ppl 63.53 | lr 1.00e-04
step 2750 | train 4.1037 | val 4.1130 | ppl 61.13 | lr 1.00e-04
