training log: output/train_20260402_133552.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20_acc5_5e-05LR.pt', 'init_from': 'models/sr_transformer_512x20_acc5_bigLR.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 5e-05, 'max_steps': 25000, 'warmup_steps': 0, 'eval_every': 50, 'acc_steps': 5, 'val_split': 0.1, 'save_last_model': True, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20_acc5_bigLR.pt
step 1 | train 3.8673 | val 3.8893 | ppl 48.88 | lr 5.00e-05
step 50 | train 3.7845 | val 3.9636 | ppl 52.64 | lr 5.00e-05
step 100 | train 3.8409 | val 3.9595 | ppl 52.43 | lr 5.00e-05
step 150 | train 3.8636 | val 3.9479 | ppl 51.83 | lr 5.00e-05
step 200 | train 3.8385 | val 3.8883 | ppl 48.83 | lr 5.00e-05
step 250 | train 3.8408 | val 3.9402 | ppl 51.43 | lr 5.00e-05
step 300 | train 3.9007 | val 3.9343 | ppl 51.13 | lr 5.00e-05
step 350 | train 3.7519 | val 3.9145 | ppl 50.12 | lr 5.00e-05
step 400 | train 3.9880 | val 3.9244 | ppl 50.62 | lr 5.00e-05
step 450 | train 3.6836 | val 3.9126 | ppl 50.03 | lr 5.00e-05
step 500 | train 3.8457 | val 3.9102 | ppl 49.91 | lr 5.00e-05
step 550 | train 3.6800 | val 3.9594 | ppl 52.43 | lr 5.00e-05
step 600 | train 3.7341 | val 3.9569 | ppl 52.29 | lr 5.00e-05
step 650 | train 3.7506 | val 3.9210 | ppl 50.45 | lr 5.00e-05
step 700 | train 3.9196 | val 3.9222 | ppl 50.51 | lr 5.00e-05
step 750 | train 3.9397 | val 3.8843 | ppl 48.63 | lr 5.00e-05
step 800 | train 3.8161 | val 3.9393 | ppl 51.38 | lr 5.00e-05
step 850 | train 3.7992 | val 3.8876 | ppl 48.79 | lr 5.00e-05
step 900 | train 3.8705 | val 3.9359 | ppl 51.21 | lr 5.00e-05
step 950 | train 3.7134 | val 3.9316 | ppl 50.99 | lr 5.00e-05
step 1000 | train 3.7983 | val 3.9034 | ppl 49.57 | lr 5.00e-05
step 1050 | train 3.8096 | val 3.9192 | ppl 50.36 | lr 5.00e-05
step 1100 | train 3.8363 | val 3.8980 | ppl 49.30 | lr 5.00e-05
step 1150 | train 3.8626 | val 3.9072 | ppl 49.76 | lr 5.00e-05
step 1200 | train 3.7716 | val 3.8858 | ppl 48.70 | lr 5.00e-05
step 1250 | train 3.7218 | val 3.8602 | ppl 47.48 | lr 5.00e-05
step 1300 | train 3.6699 | val 3.8673 | ppl 47.81 | lr 5.00e-05
step 1350 | train 3.8481 | val 3.9506 | ppl 51.97 | lr 5.00e-05
step 1400 | train 3.7929 | val 3.9080 | ppl 49.80 | lr 5.00e-05
step 1450 | train 3.9575 | val 3.8904 | ppl 48.93 | lr 5.00e-05
step 1500 | train 3.9029 | val 3.8873 | ppl 48.78 | lr 5.00e-05
step 1550 | train 3.8138 | val 3.8890 | ppl 48.86 | lr 5.00e-05
step 1600 | train 3.9844 | val 3.9260 | ppl 50.70 | lr 5.00e-05
step 1650 | train 3.7310 | val 3.8964 | ppl 49.22 | lr 5.00e-05
step 1700 | train 3.7351 | val 3.9320 | ppl 51.01 | lr 5.00e-05
step 1750 | train 3.9402 | val 3.9698 | ppl 52.97 | lr 5.00e-05
step 1800 | train 3.7989 | val 3.9083 | ppl 49.82 | lr 5.00e-05
step 1850 | train 3.8069 | val 3.8904 | ppl 48.93 | lr 5.00e-05
step 1900 | train 3.9375 | val 3.9075 | ppl 49.77 | lr 5.00e-05
step 1950 | train 3.8928 | val 3.9252 | ppl 50.66 | lr 5.00e-05
step 2000 | train 3.8866 | val 3.9229 | ppl 50.55 | lr 5.00e-05
step 2050 | train 3.9190 | val 3.9251 | ppl 50.66 | lr 5.00e-05
step 2100 | train 4.0659 | val 3.9136 | ppl 50.08 | lr 5.00e-05
step 2150 | train 3.6900 | val 3.9060 | ppl 49.70 | lr 5.00e-05
step 2200 | train 3.7900 | val 3.8473 | ppl 46.87 | lr 5.00e-05
step 2250 | train 3.8036 | val 3.8785 | ppl 48.35 | lr 5.00e-05
step 2300 | train 3.6285 | val 3.8697 | ppl 47.93 | lr 5.00e-05
step 2350 | train 3.5702 | val 3.9083 | ppl 49.81 | lr 5.00e-05
step 2400 | train 3.7663 | val 3.8982 | ppl 49.32 | lr 5.00e-05
step 2450 | train 3.8218 | val 3.9130 | ppl 50.05 | lr 5.00e-05
step 2500 | train 3.7705 | val 3.8752 | ppl 48.19 | lr 5.00e-05
step 2550 | train 3.8616 | val 3.8954 | ppl 49.18 | lr 5.00e-05
step 2600 | train 3.8607 | val 3.8584 | ppl 47.39 | lr 5.00e-05
step 2650 | train 3.8743 | val 3.8858 | ppl 48.71 | lr 5.00e-05
step 2700 | train 3.7190 | val 3.9040 | ppl 49.60 | lr 4.99e-05
step 2750 | train 3.8033 | val 3.9449 | ppl 51.67 | lr 4.99e-05
step 2800 | train 3.8692 | val 3.9170 | ppl 50.25 | lr 4.99e-05
step 2850 | train 3.9540 | val 3.9220 | ppl 50.50 | lr 4.99e-05
step 2900 | train 3.8516 | val 3.8909 | ppl 48.96 | lr 4.99e-05
step 2950 | train 3.8212 | val 3.9716 | ppl 53.07 | lr 4.99e-05
step 3000 | train 3.6894 | val 3.8960 | ppl 49.20 | lr 4.99e-05
step 3050 | train 3.6715 | val 3.9367 | ppl 51.25 | lr 4.99e-05
step 3100 | train 3.8480 | val 3.9104 | ppl 49.92 | lr 4.99e-05
step 3150 | train 3.8088 | val 3.9267 | ppl 50.74 | lr 4.99e-05
step 3200 | train 3.9036 | val 3.9521 | ppl 52.05 | lr 4.99e-05
step 3250 | train 3.8919 | val 3.8941 | ppl 49.11 | lr 4.99e-05
step 3300 | train 3.9149 | val 3.9373 | ppl 51.28 | lr 4.99e-05
step 3350 | train 3.8142 | val 3.9549 | ppl 52.19 | lr 4.99e-05
step 3400 | train 3.7152 | val 3.9248 | ppl 50.64 | lr 4.99e-05
step 3450 | train 3.8404 | val 3.9330 | ppl 51.06 | lr 4.99e-05
step 3500 | train 3.7329 | val 3.9334 | ppl 51.08 | lr 4.99e-05
step 3550 | train 3.8716 | val 3.9165 | ppl 50.23 | lr 4.99e-05
step 3600 | train 3.7842 | val 3.9012 | ppl 49.46 | lr 4.99e-05
step 3650 | train 3.9317 | val 3.9264 | ppl 50.73 | lr 4.99e-05
step 3700 | train 3.9802 | val 3.9121 | ppl 50.00 | lr 4.99e-05
step 3750 | train 3.7468 | val 3.9700 | ppl 52.99 | lr 4.99e-05
step 3800 | train 3.8713 | val 3.9540 | ppl 52.15 | lr 4.99e-05
step 3850 | train 3.7082 | val 3.9022 | ppl 49.51 | lr 4.99e-05
step 3900 | train 3.8771 | val 3.9046 | ppl 49.63 | lr 4.99e-05
step 3950 | train 3.8273 | val 3.8657 | ppl 47.74 | lr 4.99e-05
step 4000 | train 3.8623 | val 3.9245 | ppl 50.63 | lr 4.99e-05
step 4050 | train 3.8779 | val 3.9317 | ppl 50.99 | lr 4.99e-05
step 4100 | train 3.9010 | val 3.9306 | ppl 50.94 | lr 4.99e-05
step 4150 | train 3.5866 | val 3.9026 | ppl 49.53 | lr 4.99e-05
step 4200 | train 3.8685 | val 3.9230 | ppl 50.55 | lr 4.99e-05
step 4250 | train 3.8034 | val 3.9141 | ppl 50.11 | lr 4.99e-05
step 4300 | train 3.7001 | val 3.8852 | ppl 48.68 | lr 4.99e-05
step 4350 | train 3.9691 | val 3.9358 | ppl 51.20 | lr 4.99e-05
step 4400 | train 3.8871 | val 3.8671 | ppl 47.80 | lr 4.99e-05
step 4450 | train 3.7858 | val 3.9101 | ppl 49.90 | lr 4.99e-05
step 4500 | train 3.7688 | val 3.8714 | ppl 48.01 | lr 4.99e-05
step 4550 | train 3.8889 | val 3.8916 | ppl 48.99 | lr 4.99e-05
step 4600 | train 3.8774 | val 3.8971 | ppl 49.26 | lr 4.98e-05
step 4650 | train 3.7189 | val 3.9197 | ppl 50.38 | lr 4.98e-05
step 4700 | train 3.7497 | val 3.9166 | ppl 50.23 | lr 4.98e-05
step 4750 | train 3.8232 | val 3.9053 | ppl 49.66 | lr 4.98e-05
step 4800 | train 3.8269 | val 3.8880 | ppl 48.81 | lr 4.98e-05
step 4850 | train 3.7506 | val 3.8808 | ppl 48.46 | lr 4.98e-05
step 4900 | train 3.7464 | val 3.8530 | ppl 47.14 | lr 4.98e-05
step 4950 | train 3.9873 | val 3.8880 | ppl 48.81 | lr 4.98e-05
step 5000 | train 3.7268 | val 3.9882 | ppl 53.96 | lr 4.98e-05
step 5050 | train 3.9450 | val 3.9270 | ppl 50.76 | lr 4.98e-05
step 5100 | train 3.9077 | val 3.9196 | ppl 50.38 | lr 4.98e-05
step 5150 | train 3.8619 | val 3.9236 | ppl 50.58 | lr 4.98e-05
step 5200 | train 3.7269 | val 3.9037 | ppl 49.59 | lr 4.98e-05
step 5250 | train 3.6183 | val 3.8612 | ppl 47.52 | lr 4.98e-05
step 5300 | train 3.7193 | val 3.9103 | ppl 49.91 | lr 4.98e-05
step 5350 | train 3.7311 | val 3.9322 | ppl 51.02 | lr 4.98e-05
step 5400 | train 3.8687 | val 3.9407 | ppl 51.46 | lr 4.98e-05
step 5450 | train 3.7585 | val 3.8910 | ppl 48.96 | lr 4.98e-05
