training log: output/train_20260403_205642.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20_acc20_2e-04LR.pt', 'init_from': 'models/sr_transformer_512x20_acc10_2e-04LR.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 0.0001, 'max_steps': 100000, 'warmup_steps': 0, 'eval_every': 200, 'acc_steps': 20, 'val_split': 0.1, 'save_last_model': True, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20_acc10_2e-04LR.pt
step 1 | train 3.6609 | val 3.7357 | ppl 41.92 | lr 1.00e-04
step 200 | train 3.4662 | val 3.7558 | ppl 42.77 | lr 1.00e-04
step 400 | train 3.4889 | val 3.7552 | ppl 42.74 | lr 1.00e-04
step 600 | train 3.5766 | val 3.7609 | ppl 42.99 | lr 1.00e-04
step 800 | train 3.7181 | val 3.7705 | ppl 43.40 | lr 1.00e-04
step 1000 | train 3.6869 | val 3.7557 | ppl 42.76 | lr 1.00e-04
step 1200 | train 3.6256 | val 3.7250 | ppl 41.47 | lr 1.00e-04
step 1400 | train 3.5086 | val 3.7495 | ppl 42.50 | lr 1.00e-04
step 1600 | train 3.6181 | val 3.7174 | ppl 41.16 | lr 1.00e-04
step 1800 | train 3.6942 | val 3.7581 | ppl 42.87 | lr 1.00e-04
step 2000 | train 3.4378 | val 3.7282 | ppl 41.60 | lr 1.00e-04
step 2200 | train 3.6983 | val 3.7353 | ppl 41.90 | lr 1.00e-04
step 2400 | train 3.5289 | val 3.7663 | ppl 43.22 | lr 1.00e-04
step 2600 | train 3.5777 | val 3.7503 | ppl 42.53 | lr 1.00e-04
step 2800 | train 3.7682 | val 3.7804 | ppl 43.83 | lr 1.00e-04
step 3000 | train 3.6743 | val 3.7836 | ppl 43.97 | lr 1.00e-04
step 3200 | train 3.6094 | val 3.7425 | ppl 42.20 | lr 1.00e-04
step 3400 | train 3.6717 | val 3.7575 | ppl 42.84 | lr 1.00e-04
step 3600 | train 3.8499 | val 3.7504 | ppl 42.54 | lr 1.00e-04
step 3800 | train 3.6719 | val 3.7135 | ppl 41.00 | lr 1.00e-04
step 4000 | train 3.6482 | val 3.7481 | ppl 42.44 | lr 1.00e-04
step 4200 | train 3.6492 | val 3.7307 | ppl 41.71 | lr 1.00e-04
step 4400 | train 3.7242 | val 3.7272 | ppl 41.56 | lr 1.00e-04
step 4600 | train 3.8150 | val 3.7456 | ppl 42.33 | lr 1.00e-04
step 4800 | train 3.8213 | val 3.7657 | ppl 43.19 | lr 1.00e-04
step 5000 | train 3.6584 | val 3.7340 | ppl 41.85 | lr 1.00e-04
step 5200 | train 3.6374 | val 3.7522 | ppl 42.61 | lr 1.00e-04
step 5400 | train 3.4320 | val 3.7211 | ppl 41.31 | lr 1.00e-04
step 5600 | train 3.7314 | val 3.6937 | ppl 40.19 | lr 1.00e-04
step 5800 | train 3.6728 | val 3.7353 | ppl 41.90 | lr 1.00e-04
step 6000 | train 3.4696 | val 3.7460 | ppl 42.35 | lr 1.00e-04
step 6200 | train 3.5776 | val 3.7786 | ppl 43.75 | lr 1.00e-04
step 6400 | train 3.6839 | val 3.7391 | ppl 42.06 | lr 1.00e-04
step 6600 | train 3.6576 | val 3.7456 | ppl 42.34 | lr 1.00e-04
step 6800 | train 3.7724 | val 3.7282 | ppl 41.60 | lr 1.00e-04
step 7000 | train 3.6056 | val 3.7425 | ppl 42.20 | lr 1.00e-04
step 7200 | train 3.5976 | val 3.7506 | ppl 42.55 | lr 1.00e-04
step 7400 | train 3.5546 | val 3.7485 | ppl 42.46 | lr 1.00e-04
step 7600 | train 3.7098 | val 3.7470 | ppl 42.40 | lr 1.00e-04
step 7800 | train 3.3934 | val 3.7319 | ppl 41.76 | lr 1.00e-04
step 8000 | train 3.7006 | val 3.7630 | ppl 43.08 | lr 1.00e-04
step 8200 | train 3.6609 | val 3.7787 | ppl 43.76 | lr 1.00e-04
step 8400 | train 3.5791 | val 3.7319 | ppl 41.76 | lr 1.00e-04
step 8600 | train 3.6555 | val 3.7612 | ppl 43.00 | lr 1.00e-04
step 8800 | train 3.5527 | val 3.7492 | ppl 42.49 | lr 1.00e-04
step 9000 | train 3.6663 | val 3.7252 | ppl 41.48 | lr 1.00e-04
step 9200 | train 3.7021 | val 3.7559 | ppl 42.77 | lr 1.00e-04
step 9400 | train 3.7031 | val 3.7275 | ppl 41.57 | lr 1.00e-04
step 9600 | train 3.5682 | val 3.7400 | ppl 42.10 | lr 1.00e-04
step 9800 | train 3.6358 | val 3.7363 | ppl 41.94 | lr 1.00e-04
step 10000 | train 3.6682 | val 3.7416 | ppl 42.17 | lr 1.00e-04
step 10200 | train 3.7338 | val 3.7281 | ppl 41.60 | lr 1.00e-04
step 10400 | train 3.6116 | val 3.7261 | ppl 41.52 | lr 1.00e-04
step 10600 | train 3.7530 | val 3.7332 | ppl 41.81 | lr 1.00e-04
step 10800 | train 3.6550 | val 3.7548 | ppl 42.72 | lr 1.00e-04
step 11000 | train 3.5959 | val 3.7176 | ppl 41.17 | lr 1.00e-04
step 11200 | train 3.6448 | val 3.7723 | ppl 43.48 | lr 1.00e-04
step 11400 | train 3.6099 | val 3.7451 | ppl 42.31 | lr 1.00e-04
step 11600 | train 3.4901 | val 3.7230 | ppl 41.39 | lr 1.00e-04
step 11800 | train 3.5659 | val 3.7626 | ppl 43.06 | lr 1.00e-04
step 12000 | train 3.6686 | val 3.7451 | ppl 42.31 | lr 1.00e-04
step 12200 | train 3.5635 | val 3.7357 | ppl 41.92 | lr 1.00e-04
step 12400 | train 3.5771 | val 3.6925 | ppl 40.15 | lr 1.00e-04
step 12600 | train 3.8026 | val 3.7510 | ppl 42.56 | lr 1.00e-04
step 12800 | train 3.7352 | val 3.7144 | ppl 41.03 | lr 1.00e-04
step 13000 | train 3.5799 | val 3.7272 | ppl 41.56 | lr 1.00e-04
step 13200 | train 3.6178 | val 3.7433 | ppl 42.24 | lr 1.00e-04
step 13400 | train 3.6255 | val 3.7368 | ppl 41.96 | lr 1.00e-04
step 13600 | train 3.5599 | val 3.7718 | ppl 43.46 | lr 1.00e-04
step 13800 | train 3.5945 | val 3.7317 | ppl 41.75 | lr 1.00e-04
step 14000 | train 3.5595 | val 3.7618 | ppl 43.03 | lr 1.00e-04
step 14200 | train 3.7079 | val 3.7646 | ppl 43.15 | lr 1.00e-04
step 14400 | train 3.5268 | val 3.7382 | ppl 42.02 | lr 1.00e-04
step 14600 | train 3.5761 | val 3.7209 | ppl 41.30 | lr 1.00e-04
