training log: output/train_20260407_184936.txt
config: {'model_path': 'tokenizer/andric_sp.model', 'input_path': 'input/dataset.txt', 'save_path': 'models/sr_transformer_512x20_acc40_3e-05LR.pt', 'init_from': 'models/sr_transformer_512x20_acc20_1e-04LR.pt', 'block_size': 512, 'batch_size': 20, 'embed_dim': 384, 'num_layers': 6, 'num_heads': 6, 'dropout': 0.1, 'lr': 3e-05, 'max_steps': 60000, 'warmup_steps': 0, 'eval_every': 200, 'acc_steps': 40, 'val_split': 0.1, 'save_last_model': True, 'device': 'cuda', 'seed': 42}
initialized model weights from models/sr_transformer_512x20_acc20_1e-04LR.pt
step 1 | train 3.4950 | val 3.6002 | ppl 36.61 | lr 3.00e-05
step 200 | train 3.3075 | val 3.6279 | ppl 37.63 | lr 3.00e-05
step 400 | train 3.3342 | val 3.6305 | ppl 37.73 | lr 3.00e-05
step 600 | train 3.4221 | val 3.6366 | ppl 37.96 | lr 3.00e-05
step 800 | train 3.5686 | val 3.6409 | ppl 38.13 | lr 3.00e-05
step 1000 | train 3.5412 | val 3.6335 | ppl 37.84 | lr 3.00e-05
step 1200 | train 3.4793 | val 3.6011 | ppl 36.64 | lr 3.00e-05
step 1400 | train 3.3600 | val 3.6249 | ppl 37.52 | lr 3.00e-05
step 1600 | train 3.4741 | val 3.5933 | ppl 36.35 | lr 3.00e-05
step 1800 | train 3.5483 | val 3.6336 | ppl 37.85 | lr 2.99e-05
step 2000 | train 3.2956 | val 3.6076 | ppl 36.88 | lr 2.99e-05
step 2200 | train 3.5556 | val 3.6108 | ppl 37.00 | lr 2.99e-05
step 2400 | train 3.3773 | val 3.6474 | ppl 38.37 | lr 2.99e-05
step 2600 | train 3.4379 | val 3.6308 | ppl 37.74 | lr 2.99e-05
step 2800 | train 3.6246 | val 3.6596 | ppl 38.84 | lr 2.99e-05
step 3000 | train 3.5315 | val 3.6638 | ppl 39.01 | lr 2.98e-05
step 3200 | train 3.4566 | val 3.6179 | ppl 37.26 | lr 2.98e-05
step 3400 | train 3.5290 | val 3.6351 | ppl 37.91 | lr 2.98e-05
step 3600 | train 3.7241 | val 3.6328 | ppl 37.82 | lr 2.98e-05
step 3800 | train 3.5387 | val 3.5917 | ppl 36.30 | lr 2.97e-05
step 4000 | train 3.5043 | val 3.6295 | ppl 37.69 | lr 2.97e-05
step 4200 | train 3.4901 | val 3.6034 | ppl 36.72 | lr 2.97e-05
step 4400 | train 3.5860 | val 3.6052 | ppl 36.79 | lr 2.96e-05
step 4600 | train 3.6707 | val 3.6256 | ppl 37.55 | lr 2.96e-05
step 4800 | train 3.6874 | val 3.6426 | ppl 38.19 | lr 2.96e-05
step 5000 | train 3.5099 | val 3.6116 | ppl 37.03 | lr 2.95e-05
step 5200 | train 3.4859 | val 3.6334 | ppl 37.84 | lr 2.95e-05
step 5400 | train 3.2945 | val 3.5990 | ppl 36.56 | lr 2.95e-05
step 5600 | train 3.5942 | val 3.5725 | ppl 35.61 | lr 2.94e-05
step 5800 | train 3.5352 | val 3.6152 | ppl 37.16 | lr 2.94e-05
